#iteracion,cantidad clocks
1,9616062
2,9362443
3,9283867
4,9227869
5,9231208
6,9529282
7,9220143
8,9167278
9,9128841
10,9177998
11,9126874
12,9159132
13,9131668
14,9155589
15,9178595
16,9126725
17,9153131
18,9133306
19,9152022
20,9132761
21,9402290
22,9311315
23,9301922
24,9196631
25,9135758
26,9170295
27,9123846
28,9304678
29,9285722
30,9139033
31,9162785
32,9275380
33,9653646
34,9170098
35,9405282
36,9501921
37,9161129
38,9416828
39,9707040
40,9627909
41,9573317
42,9276574
43,9574248
44,9479498
45,9366189
46,9560972
47,9418555
48,9594515
49,9283549
50,9385973
51,9194854
52,9500374
53,9746668
54,9541593
55,9785437
56,10749694
57,9758191
58,9458949
59,9889502
60,9565128
61,9286760
62,9270697
63,9367099
64,9478646
65,10318519
66,9868067
67,9779937
68,10215235
69,9364018
70,9501799
71,9277550
72,9274004
73,9331977
74,9256873
75,9465518
76,9128743
77,9419390
78,9280570
79,9247281
80,9361579
81,9175935
82,9383126
83,9268784
84,9283918
85,9322282
86,9217152
87,9150947
88,9135621
89,9407104
90,9214632
91,9127844
92,9157258
93,9129455
94,9183914
95,9153516
96,9158274
97,9153168
98,9131043
99,9179863
100,9146663